Year,Constituency_No,Constituency_Name,District_Name,Candidate_Name,Candidate_Sex,Candidate_Age,Candidate_Category,Party_Name,VALID_VOTES_POLLED_in_General,VALID_VOTES_POLLED_in_Postal,Total_Valid_Votes,Total_Electors,Total_Votes,Criminal_Cases,Education,Assets,Liabilities,Win_or_Loss
2016,111,Mettuppalayam,Coimbatore,CHINNARAJ.O.K,M,62,GEN,AIADMK,93298,297,93595,279110,210761,0,12th ,6321254,0,1
2016,111,Mettuppalayam,Coimbatore,SURENDRAN. S.,M,45,GEN,DMK,76431,1050,77481,279110,210761,0,12th ,33454701,5823999,0
2016,111,Mettuppalayam,Coimbatore,SHANMUGA SUNDARAM.T.R,M,54,GEN,TMC(M),13283,41,13324,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,JAGANATHAN. P.,M,45,GEN,BJP,10975,61,11036,279110,210761,0,10th ,2370000,200000,0
2016,111,Mettuppalayam,Coimbatore,None of the Above,,,,NOTA,3393,15,3408,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,MOHAMMED RAFI. S,M,39,GEN,SDPI,2206,3,2209,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,MOORTHI. K,M,46,GEN,PMK,1862,8,1870,279110,210761,2,8th ,10044907,724673,0
2016,111,Mettuppalayam,Coimbatore,VELLINGIRI. K,M,54,GEN,KMDK,1593,11,1604,279110,210761,0,5th ,2328905,0,0
2016,111,Mettuppalayam,Coimbatore,ABDUL VAHAB. A,M,39,GEN,NTK,1505,4,1509,279110,210761,1,10th ,466000,15000,0
2016,111,Mettuppalayam,Coimbatore,VENKATESH. K,M,45,GEN,IND,1264,0,1264,279110,210761,0,10th ,3330000,0,0
2016,111,Mettuppalayam,Coimbatore,POONGUNDRAN M.K,M,39,GEN,IND,1144,1,1145,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,NATARAJAN.P,M,42,GEN,CPI(ML)(L),622,0,622,279110,210761,0,Others,3097909,0,0
2016,111,Mettuppalayam,Coimbatore,BHASKARAN. K.,M,40,SC,BSP,563,0,563,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,BALADHANDAYUTHAM.R,M,27,GEN,IND,406,0,406,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,SHANMUGASUNDRAM. P.S,M,49,GEN,IND,248,0,248,279110,210761,0,5th ,81669058,8400000,0
2016,111,Mettuppalayam,Coimbatore,DHARMARAJ. M,M,46,GEN,IND,206,2,208,279110,210761,0,12th ,300000,0,0
2016,111,Mettuppalayam,Coimbatore,ARUMUGAM. P,M,40,SC,IND,153,0,153,279110,210761,,,,,0
2016,111,Mettuppalayam,Coimbatore,GANESHKUMAR. E,M,32,GEN,IND,115,1,116,279110,210761,0,Others,111000,0,0
2016,116,Sulur,Coimbatore,"KANAGARAJ, R.",M,64,GEN,AIADMK,100738,239,100977,281890,213121,0,8th ,30965632,943500,1
2016,116,Sulur,Coimbatore,"MANOHARAN, V.M.C.",M,52,GEN,INC,63582,764,64346,281890,213121,0,8th ,11268917,185691,0
2016,116,Sulur,Coimbatore,"MANDHARASALAM, S.D.",M,49,GEN,BJP,13460,57,13517,281890,213121,0,12th ,45155072,7060000,0
2016,116,Sulur,Coimbatore,"THINAKARAN, K.",M,38,GEN,DMDK,13042,64,13106,281890,213121,1,Graduate,19934048,21700,0
2016,116,Sulur,Coimbatore,"PREMIER SELVAM @ KALICHAMY, M.",M,47,GEN,KMDK,9650,22,9672,281890,213121,0,12th ,157055808,20000000,0
2016,116,Sulur,Coimbatore,None of the Above,,,,NOTA,3667,21,3688,281890,213121,,,,,0
2016,116,Sulur,Coimbatore,"VIJAYARAGAVAN, M.V.",M,31,GEN,NTK,2860,13,2873,281890,213121,,,,,0
2016,116,Sulur,Coimbatore,"GANESAN, P.K.",M,57,GEN,PMK,1683,4,1687,281890,213121,1,10th ,5036844,0,0
2016,116,Sulur,Coimbatore,"ABDUL HAKKEM, P.",M,59,GEN,BSP,978,0,978,281890,213121,0,5th ,2260000,0,0
2016,116,Sulur,Coimbatore,LAKSHMANAN. G,M,45,GEN,IND,813,0,813,281890,213121,0,8th ,4769614,0,0
2016,116,Sulur,Coimbatore,KAVITHAKARTHIKEYAN,F,34,GEN,IND,684,0,684,281890,213121,,,,,0
2016,116,Sulur,Coimbatore,SINGAM SETHU,M,37,GEN,AIFB,510,1,511,281890,213121,,,,,0
2016,116,Sulur,Coimbatore,PON MANOHARAN,M,35,GEN,SP,269,0,269,281890,213121,0,8th ,549851,0,0
2016,117,Kavundampalayam,Coimbatore,"ARUKUTTY, V.C.",M,59,GEN,AIADMK,110548,322,110870,410090,272400,1,5th ,32130473,3831101,1
2016,117,Kavundampalayam,Coimbatore,"PAYYA GOUNDER @ KRISHNAN, R.",M,59,GEN,DMK,101785,1060,102845,410090,272400,0,5th ,141519545,0,0
2016,117,Kavundampalayam,Coimbatore,"NANDAKUMAR, R.",M,44,GEN,BJP,22336,108,22444,410090,272400,1,Graduate,5951727,0,0
2016,117,Kavundampalayam,Coimbatore,"RAMAMURTHY, V.",M,50,GEN,CPM,16803,71,16874,410090,272400,1,Graduate,64700295,0,0
2016,117,Kavundampalayam,Coimbatore,None of the Above,,,,NOTA,5258,16,5274,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"KOUSALYA, P.",F,42,GEN,NTK,3717,18,3735,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"THANGAVELU, A.",M,44,GEN,PMK,2523,10,2533,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"KULANDAIVELU, K.S.",M,51,GEN,KMDK,2511,10,2521,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"ARUNA, D.",F,48,GEN,IND,1044,1,1045,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"VELMURUGAN, M.S.",M,49,SC,CPI(ML)(L),1004,0,1004,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"MARI, V.",M,39,GEN,IND,576,0,576,410090,272400,1,Literate,3164000,0,0
2016,117,Kavundampalayam,Coimbatore,"THIRUMALAIRAJAN, S.",M,69,GEN,GMI,442,4,446,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"KALA, M.",F,46,SC,BSP,391,0,391,410090,272400,0,PG ,275500,0,0
2016,117,Kavundampalayam,Coimbatore,"MAHENDRA BHARATHI, P.",M,35,SC,WPOI,319,1,320,410090,272400,0,8th ,70000,0,0
2016,117,Kavundampalayam,Coimbatore,"VEERABATHIRAN, K.",M,45,GEN,AIFB,304,1,305,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"KRISHNAN, M.",M,62,SC,IND,197,0,197,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"BALAKUMAR, R.",M,48,GEN,VBMP,191,0,191,410090,272400,0,8th ,461000,0,0
2016,117,Kavundampalayam,Coimbatore,"VELUSWAMY, V.",M,50,GEN,IND,188,1,189,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"RAJESH KUMAR, B.",M,40,GEN,NCP,181,1,182,410090,272400,0,10th ,1376997,159000,0
2016,117,Kavundampalayam,Coimbatore,"SHANMUGAM, K.",M,51,GEN,UMK,165,0,165,410090,272400,0,5th ,270000,0,0
2016,117,Kavundampalayam,Coimbatore,"MAHESHWARAN, G.",M,30,SC,PPIS,149,0,149,410090,272400,,,,,0
2016,117,Kavundampalayam,Coimbatore,"SEVAL, S.",F,53,GEN,IND,144,0,144,410090,272400,0,Graduate,4485000,87000,0
2016,118,Coimbatore (North),Coimbatore,ARUN KUMAR P.R.G.,M,54,GEN,AIADMK,77301,239,77540,304374,188882,,,,,1
2016,118,Coimbatore (North),Coimbatore,S.MEENALOGU,F,42,GEN,DMK,69049,767,69816,304374,188882,8,PG,26731767,9087253,0
2016,118,Coimbatore (North),Coimbatore,KANNAN ALIAS S.DEVARAJ,M,46,GEN,BJP,16693,48,16741,304374,188882,0,12th,29197245,120000,0
2016,118,Coimbatore (North),Coimbatore,S.M.@ MURUGAN P.,M,54,GEN,DMDK,12110,43,12153,304374,188882,1,5th,33560124,0,0
2016,118,Coimbatore (North),Coimbatore,None of the Above,,,,NOTA,4559,15,4574,304374,188882,,,,,0
2016,118,Coimbatore (North),Coimbatore,BALENDRAN C.B.,M,49,GEN,NTK,3099,15,3114,304374,188882,,,,,0
2016,118,Coimbatore (North),Coimbatore,KAMARAJ NATESAN,M,43,GEN,PMK,2183,13,2196,304374,188882,0,PG,23202751,571698,0
2016,118,Coimbatore (North),Coimbatore,SANGANOOR PREMKUMAR,M,35,GEN,KMDK,1033,3,1036,304374,188882,,,,,0
